id,timestamp,text,context
1,2024-01-16 08:57:08,"fr thats so cool",message
2,2024-01-10 17:49:53,"periodt",message
3,2024-01-16 10:33:47,"keep practicing",message
4,2024-01-12 17:09:20,"good morning mom!",message
5,2024-01-24 11:29:26,"youre very brave",message
6,2024-01-03 10:13:32,"why do i get bullied?",search
7,2024-01-09 13:29:56,"tbh that sounds fun",message
8,2024-01-22 17:15:49,"youre already brave",message
9,2024-01-07 19:55:39,"tbh im kinda bored",message
10,2024-01-14 13:27:56,"what does hate mean?",search
11,2024-01-08 18:05:20,"say less im in",message
12,2024-01-22 19:54:15,"facts",message
13,2024-01-17 19:30:35,"youre very kind",message
14,2024-01-09 10:02:50,"you are good enough",message
15,2024-01-18 11:26:54,"can we play together?",message
16,2024-01-13 17:50:31,"what does weird mean?",search
17,2024-01-10 15:33:33,"how to stop crying",search
18,2024-01-16 08:17:50,"tell a teacher or parent",message
19,2024-01-16 17:50:15,"what does stupid mean?",search
20,2024-01-28 12:33:17,"weird is wonderful",message
21,2024-01-16 16:50:43,"im your friend",message
22,2024-01-07 19:44:08,"thats not nice",message
23,2024-01-07 13:37:49,"youre awesome!",message
24,2024-01-07 15:28:57,"im dead that was so funny",message
25,2024-01-05 18:36:27,"what time?",message
26,2024-01-05 11:02:22,"hey can u come over today?",message
27,2024-01-01 16:01:01,"tell a teacher or parent",message
28,2024-01-10 19:02:30,"can we build together?",message
29,2024-01-28 15:04:50,"you look nice today!",message
30,2024-01-21 09:15:01,"study hard!",message
31,2024-01-10 16:34:13,"youre so mean!",message
32,2024-01-08 17:14:24,"can i download that app?",message
33,2024-01-05 14:38:40,"good morning mom!",message
34,2024-01-05 10:35:43,"i love that game",message
35,2024-01-13 18:47:58,"youre very kind",message
36,2024-01-07 15:35:12,"you are good enough",message
37,2024-01-09 14:54:57,"hey can u come over today?",message
38,2024-01-08 10:56:40,"how to be brave",search
39,2024-01-08 09:33:39,"what does lowkey mean",search
40,2024-02-23 20:03:25,"we dont use that word",message
41,2024-02-03 09:03:29,"hate is a strong word",message
42,2024-02-05 10:59:44,"thats kinda sus",message
43,2024-02-25 20:58:41,"what is Facebook?",search
44,2024-02-22 08:59:46,"dont worry about what they think",message
45,2024-02-13 10:33:29,"im bored",message
46,2024-02-20 17:50:33,"can we play together?",message
47,2024-02-08 17:09:18,"what does big mood mean",search
48,2024-02-28 20:10:06,"im dead that was so funny",message
49,2024-02-11 20:21:09,"vibe check",message
50,2024-02-18 11:42:14,"how to become popular",search
51,2024-02-02 10:14:37,"im here for you",message
52,2024-02-07 12:55:06,"vibe check",message
53,2024-02-13 18:06:21,"im dead that was so funny",message
54,2024-02-23 16:32:58,"talking helps",message
55,2024-02-06 17:42:31,"that was so fun today thanks!",message
56,2024-02-10 15:16:24,"im your friend",message
57,2024-02-11 09:16:04,"good morning mom!",message
58,2024-02-14 17:25:19,"different is special",message
59,2024-02-19 19:37:41,"what does ugly mean?",search
60,2024-02-15 15:13:51,"no cap youre the best",message
61,2024-02-12 17:53:47,"facts",message
62,2024-02-28 19:40:25,"dont worry about what they think",message
63,2024-02-15 09:52:07,"why am i bad at math?",search
64,2024-02-19 16:48:43,"good morning mom!",message
65,2024-02-24 12:06:15,"what is Among Us?",search
66,2024-02-17 15:44:15,"keep practicing",message
67,2024-02-12 14:52:02,"how to become popular",search
68,2024-02-07 14:33:58,"how to become popular",search
69,2024-02-15 19:58:56,"ngl that was awesome",message
70,2024-02-07 15:46:06,"its okay to cry",message
71,2024-02-14 15:57:20,"thats not nice",message
72,2024-02-06 20:11:30,"youre already good",message
73,2024-02-06 16:11:34,"its okay to cry",message
74,2024-02-15 14:41:47,"thats a big mood",message
75,2024-02-14 12:58:40,"lying is wrong",message
76,2024-02-06 20:14:35,"how to make people like me",search
77,2024-03-10 18:54:23,"how to be popular in school",search
78,2024-03-07 18:48:59,"what is Snapchat?",search
79,2024-03-17 14:51:22,"take deep breaths",message
80,2024-03-02 08:38:25,"can we hang out after school?",message
81,2024-03-17 15:27:18,"be careful online",message
82,2024-03-13 18:24:25,"thats kinda sus",message
83,2024-03-18 20:50:41,"thanks for being my friend",message
84,2024-03-14 11:17:09,"go off",message
85,2024-03-14 13:51:13,"facts",message
86,2024-03-16 11:56:38,"what is Fortnite?",search
87,2024-03-16 14:06:59,"go off",message
88,2024-03-23 13:05:04,"everyone makes mistakes",message
89,2024-03-06 18:52:12,"different is special",message
90,2024-03-28 18:20:42,"youre awesome!",message
91,2024-03-22 15:19:07,"what does that slaps mean",search
92,2024-03-16 14:28:07,"being weird is cool",message
93,2024-03-10 15:28:47,"that hits different",message
94,2024-03-17 11:42:15,"that hits different",message
95,2024-03-02 09:21:16,"ngl i love that",message
96,2024-03-17 19:23:27,"how to be better at things",search
97,2024-03-04 09:34:42,"go off",message
98,2024-03-24 17:38:53,"can we play?",message
99,2024-03-21 11:06:48,"why do people judge me?",search
100,2024-03-06 12:33:03,"what does ngl mean",search
101,2024-03-18 14:31:03,"im bored",message
102,2024-03-17 16:12:27,"be careful online",message
103,2024-03-03 15:28:48,"say less im in",message
104,2024-03-14 16:32:59,"why do people get angry?",search
105,2024-03-09 10:56:34,"what is Fortnite?",search
106,2024-03-14 14:21:37,"why do people judge me?",search
107,2024-03-25 10:58:30,"i love that game",message
108,2024-03-20 08:50:45,"that was so fun today thanks!",message
109,2024-03-26 18:33:08,"how to feel happy again",search
110,2024-04-18 18:27:18,"how to be more brave",search
111,2024-04-22 17:06:08,"why do i always get in trouble?",search
112,2024-04-24 11:00:44,"thats fire",message
113,2024-04-16 19:02:45,"what does vibe mean",search
114,2024-04-27 12:50:31,"thats a mean word",message
115,2024-04-17 15:38:29,"that hurt my feelings",message
116,2024-04-16 14:11:17,"dont worry about what they think",message
117,2024-04-06 08:52:44,"talk to someone",message
118,2024-04-08 17:25:14,"dont worry about what they think",message
119,2024-04-07 17:43:49,"everyone makes mistakes",message
120,2024-04-05 18:16:20,"hey can u come over today?",message
121,2024-04-18 10:35:37,"everyone makes mistakes",message
122,2024-04-19 12:37:22,"youre very brave",message
123,2024-04-16 14:55:19,"what does im dead mean",search
124,2024-04-21 08:08:20,"everyone makes mistakes",message
125,2024-04-27 15:10:50,"ngl that was awesome",message
126,2024-04-25 20:01:56,"how to get smarter",search
127,2024-04-22 11:38:07,"its okay to cry",message
128,2024-04-13 19:48:27,"ngl i love that",message
129,2024-04-23 10:30:04,"thats not nice",message
130,2024-04-27 16:26:45,"lowkey excited for tomorrow",message
131,2024-04-11 08:15:43,"why do people bully?",search
132,2024-04-19 19:25:30,"different is special",message
133,2024-04-17 16:42:00,"that was so fun today thanks!",message
134,2024-04-28 11:49:31,"can i download that app?",message
135,2024-04-19 10:32:38,"why am i not good enough?",search
136,2024-04-03 13:14:07,"tbh that sounds fun",message
137,2024-04-11 18:19:55,"you are definitely good enough",message
138,2024-04-13 08:07:42,"be careful online",message
139,2024-04-13 10:36:51,"dont worry about what they think",message
140,2024-04-09 08:08:37,"different is special",message
141,2024-04-13 16:40:17,"why do i feel so alone?",search
142,2024-05-26 15:25:33,"what does go off mean",search
143,2024-05-20 11:21:11,"dont worry about them",message
144,2024-05-16 18:28:00,"i love that game",message
145,2024-05-28 19:30:02,"you are definitely good enough",message
146,2024-05-19 15:42:15,"im here for you",message
147,2024-05-07 11:55:41,"tell a teacher or parent",message
148,2024-05-26 18:12:16,"do things you enjoy",message
149,2024-05-25 08:01:01,"no cap youre the best",message
150,2024-05-23 17:25:03,"why do i feel so alone?",search
151,2024-05-07 18:38:13,"im bored",message
152,2024-05-26 12:10:25,"ngl i love that",message
153,2024-05-20 20:14:10,"what is Snapchat?",search
154,2024-05-04 12:04:09,"thats not nice",message
155,2024-05-27 13:41:54,"thanks for being my friend",message
156,2024-05-23 17:40:51,"ngl i love that",message
157,2024-05-17 14:39:08,"why do people hate me?",search
158,2024-05-01 19:09:08,"youre amazing",message
159,2024-05-03 14:25:59,"thats a mean word",message
160,2024-05-24 08:57:05,"study hard!",message
161,2024-05-03 16:30:29,"im dead that was so funny",message
162,2024-05-26 09:47:00,"can we play together?",message
163,2024-05-27 09:54:32,"everyone makes mistakes",message
